BALL_BEAM_BOOT
HELP,keys
STATE,SAFE_DISABLED
SENSORS,angle=bad,pos=bad,m=n
MEAS,theta_deg=0.0000,x_cm=0.0000,x_filt_cm=0.0000
AGE,angle_ms=0,pos_ms=0,miss=0
FAULTS,bits=0
CAL,zero_calibrated=no,limits_calibrated=no,sign_calibrated=no
SONAR_CFG,s=-1,u=1
ACT_CFG,t=0.0000,v=0,e=0.000
TEL,enabled=1
FAULT_INFO,bits=0
FAULT_INFO,none
TEL,8252,SAFE_DISABLED,7.1576,8.2287,0.0000,0.0000,0.00,0,0.0000,34,1,0,0.0000,0.0000,0,-14.0625,0.0000,idle,7.1576,8.2287,7.1576,8.2287,8.2287,0.4000
TEL,8352,SAFE_DISABLED,5.3415,6.6140,0.0000,0.0000,0.00,0,0.0000,14,1,0,0.0000,0.0000,0,-14.0625,0.0000,idle,5.3415,6.6140,5.3415,6.6140,6.6140,0.4000
TEL,8452,SAFE_DISABLED,4.8719,5.7952,0.0000,0.0000,0.00,0,0.0000,35,1,0,0.0000,0.0000,0,-14.0625,0.0000,idle,4.8719,5.7952,4.8719,5.7952,5.7952,0.4000
TEL,8552,SAFE_DISABLED,2.2986,3.8484,0.0000,0.0000,0.00,0,0.0000,14,1,0,0.0000,0.0000,0,-14.0625,0.0000,idle,2.2986,3.8484,2.2986,3.8484,3.8484,0.4000
TEL,8652,SAFE_DISABLED,0.7613,2.4121,0.0000,0.0000,0.00,0,0.0000,34,1,0,0.0000,0.0000,0,-14.0625,0.0000,idle,0.7613,2.4121,0.7613,2.4121,2.4121,0.4000
TEL,8752,SAFE_DISABLED,-0.6921,0.5663,0.0000,0.0000,0.00,0,0.0000,15,1,0,0.0000,0.0000,0,-14.0625,0.0000,idle,-0.6921,0.5663,-0.6921,0.5663,0.5663,0.4000
TEL,8852,SAFE_DISABLED,-2.6659,-0.9976,0.0000,0.0000,0.00,0,0.0000,35,1,0,0.0000,0.0000,0,-14.0625,0.0000,idle,-2.6659,-0.9976,-2.6659,-0.9976,-0.9976,0.4000
TEL,8952,SAFE_DISABLED,-4.5370,-3.0746,0.0000,0.0000,0.00,0,0.0000,15,1,0,0.0000,0.0000,0,-14.0625,0.0000,idle,-4.5370,-3.0746,-4.5370,-3.0746,-3.0746,0.4000
TEL,9052,SAFE_DISABLED,-5.0194,-4.0665,0.0000,0.0000,0.00,0,0.0000,35,1,0,0.0000,0.0000,0,-14.0625,0.0000,idle,-5.0194,-4.0665,-5.0194,-4.0665,-4.0665,0.4000
TEL,9153,SAFE_DISABLED,-5.0194,-4.8245,0.0000,0.0000,0.00,0,0.0000,14,1,0,0.0000,0.0000,0,-14.0625,0.0000,idle,-5.0194,-4.8245,-5.0194,-4.8245,-4.8245,0.4000
