BALL_BEAM_REF_BOOT
TEL,5304,11.7266,14.5679,-2.5679,66.5295,-67,-0.131554
TEL,5404,14.5228,14.4240,-2.4240,38.4499,-38,-0.074613
TEL,5504,15.5243,14.9595,-2.9595,53.9980,-54,-0.106029
TEL,5604,15.6779,15.2691,-3.2691,68.3875,-68,-0.133518
TEL,5704,14.6130,14.2952,-2.2952,37.9228,-38,-0.074613
TEL,5804,15.4737,14.8485,-2.8485,43.7160,-44,-0.086394
TEL,5904,15.7818,15.4052,-3.4052,79.9314,-80,-0.157080
TEL,6004,11.5482,13.6582,-1.6582,76.9644,-77,-0.151189
TEL,6104,15.5752,15.1153,-3.1153,15.5886,-21,-0.041233
TEL,6204,15.7297,15.4393,-3.4393,86.0322,-65,-0.127627
TEL,6304,12.0992,14.8319,-2.8319,80.9593,-81,-0.159043
TEL,6404,15.2745,14.8309,-2.8309,40.3577,-40,-0.078540
TEL,6504,15.7297,15.3200,-3.3200,65.7374,-66,-0.129591
TEL,6604,15.9936,15.5822,-3.5822,74.6081,-75,-0.147262
TEL,6704,14.9370,14.9452,-2.9452,38.3129,-38,-0.074613
TEL,6804,15.8343,15.2607,-3.2607,67.6145,-68,-0.133518
TEL,6904,16.1015,15.7175,-3.7175,81.4304,-81,-0.159043
TEL,7004,13.9610,14.6097,-2.6097,81.5287,-82,-0.161007
TEL,7104,15.9401,15.3490,-3.3490,31.9793,-33,-0.064795
TEL,7204,16.0473,15.6968,-3.6968,83.5010,-82,-0.161007
TEL,7304,13.8370,14.6366,-2.6366,87.7171,-88,-0.172788
TEL,7404,15.4235,14.9999,-2.9999,26.1368,-31,-0.060868
TEL,7504,15.9936,15.5681,-3.5681,80.2579,-68,-0.133518
TEL,7604,16.2107,15.8468,-3.8468,81.1904,-81,-0.159043
TEL,7704,15.3238,14.8873,-2.8873,41.8448,-42,-0.082467
TEL,7804,15.9401,15.4092,-3.4092,60.9922,-61,-0.119773
TEL,7904,16.2658,15.3289,-3.3289,84.9431,-85,-0.166897
TEL,8004,14.6585,14.3145,-2.3145,65.1328,-65,-0.127627
TEL,8104,15.8870,15.3050,-3.3050,39.3492,-39,-0.076576
TEL,8204,15.9936,15.6788,-3.6788,84.4781,-83,-0.162970
TEL,8304,14.3018,14.6952,-2.6952,89.3589,-89,-0.174751
TEL,8404,15.4235,14.9306,-2.9306,29.8494,-34,-0.066759
TEL,8504,16.0473,15.5600,-3.5600,77.3406,-72,-0.141372
TEL,8604,12.6662,14.9276,-2.9276,83.1895,-83,-0.162970
TEL,8704,15.6264,15.2490,-3.2490,37.6011,-39,-0.076576
TEL,8804,15.9401,15.5538,-3.5538,80.6379,-80,-0.157080
TEL,8904,16.3213,15.9159,-3.9159,86.9968,-87,-0.170824
TEL,9004,14.7502,15.2219,-3.2219,85.4686,-85,-0.166897
TEL,9104,15.7818,15.4930,-3.4930,54.0810,-54,-0.106029
TEL,9204,16.1559,15.7414,-3.7414,77.0562,-77,-0.151189
TEL,9304,15.8870,15.8589,-3.8589,87.7277,-88,-0.172788
TEL,9404,16.3213,15.9668,-3.9668,79.7351,-80,-0.157080
TEL,9504,16.8368,16.2299,-4.2299,86.4485,-86,-0.168861
TEL,9604,16.6617,16.4129,-4.4129,91.4983,-91,-0.178678
TEL,9704,16.1015,16.3178,-4.3178,93.5510,-94,-0.184569
TEL,9804,16.1015,16.2674,-4.2674,86.1673,-86,-0.168861
TEL,9904,16.2107,16.2316,-4.2316,85.4535,-85,-0.166897
TEL,10004,16.2107,16.2173,-4.2173,86.2968,-86,-0.168861
TEL,10104,16.3771,16.2012,-4.2012,85.0331,-85,-0.166897
TEL,10204,15.8343,16.1719,-4.1719,86.8853,-87,-0.170824
TEL,10304,15.6779,16.1026,-4.1026,84.3063,-84,-0.164934
TEL,10404,15.3238,15.5775,-3.5775,83.8992,-84,-0.164934
TEL,10504,16.1559,15.8098,-3.8098,62.9918,-63,-0.123700
TEL,10604,16.1559,15.9103,-3.9103,85.4929,-85,-0.166897
TEL,10704,17.3210,16.2713,-4.2713,84.2215,-84,-0.164934
TEL,10804,16.1559,16.4630,-4.4630,97.6285,-98,-0.192423
TEL,10904,13.8781,15.9089,-3.9089,92.9899,-93,-0.182605
TEL,11004,14.9843,15.3043,-3.3043,70.6411,-71,-0.139408
TEL,11104,15.9936,15.5471,-3.5471,57.8680,-58,-0.113883
TEL,11204,15.8870,15.6558,-3.6558,81.1035,-81,-0.159043
TEL,11304,15.0799,15.1107,-3.1107,52.2411,-52,-0.102102
TEL,11404,15.6264,15.2849,-3.2849,71.1651,-71,-0.139408
TEL,11504,15.8343,15.5880,-3.5880,80.2227,-80,-0.157080
TEL,11604,14.1295,14.6276,-2.6276,82.0843,-82,-0.161007
TEL,11704,15.6264,15.0745,-3.0745,38.8738,-40,-0.078540
TEL,11804,16.0473,15.4430,-3.4430,77.3905,-77,-0.151189
TEL,11904,14.3895,14.6748,-2.6748,91.4484,-91,-0.178678
TEL,12004,15.5243,15.0224,-3.0224,37.4053,-39,-0.076576
TEL,12104,16.0473,15.6219,-3.6219,85.7316,-82,-0.161007
TEL,12204,13.4381,15.1761,-3.1761,87.5742,-88,-0.172788
TEL,12304,15.4737,14.9455,-2.9455,36.9893,-39,-0.076576
TEL,12404,15.9936,15.4170,-3.4170,73.3417,-73,-0.143335
TEL,12504,16.2107,15.8448,-3.8448,94.4104,-94,-0.184569
TEL,12604,14.7502,15.1749,-3.1749,88.7947,-89,-0.174751
TEL,12704,15.9401,15.4929,-3.4929,56.4579,-56,-0.109956
TEL,12804,16.0473,15.7082,-3.7082,82.9819,-83,-0.162970
TEL,12904,14.6585,14.8783,-2.8783,90.5318,-91,-0.178678
TEL,13004,14.1722,14.7768,-2.7768,42.1887,-44,-0.086394
TEL,13104,12.2283,12.6905,-0.6905,-7.0972,-13,-0.025525
TEL,13204,8.4990,13.1874,-1.1874,35.3152,-2,-0.003927
TEL,13304,10.0750,10.7987,1.2013,-12.8363,-5,-0.009817
TEL,13404,10.3553,10.4587,1.5413,-51.5935,38,0.074613
TEL,13504,9.0633,10.1635,1.8365,-13.9891,47,0.092284
TEL,13604,9.8085,9.9113,2.0887,-36.6317,21,0.041233
TEL,13704,10.5752,10.1720,1.8280,-18.0916,18,0.035343
TEL,13804,10.8821,10.4021,1.5979,-12.0918,12,0.023562
TEL,13904,10.7780,10.2977,1.7023,-21.8182,22,0.043197
TEL,14004,11.4898,10.7627,1.2373,-4.1624,4,0.007854
TEL,14104,11.8484,11.3680,0.6320,15.4422,-14,-0.027489
TEL,14204,10.0750,11.1322,0.8678,10.7044,-11,-0.021598
TEL,14304,9.8959,10.5653,1.4347,-20.3289,15,0.029452
TEL,14404,10.5752,10.4689,1.5311,-26.4897,26,0.051051
TEL,14504,9.0821,10.3053,1.6947,-11.1718,11,0.021598
TEL,14604,11.3179,10.6805,1.3195,-15.2127,15,0.029452
TEL,14704,12.1635,11.4301,0.5699,14.6041,-11,-0.021598
TEL,14804,12.6315,12.0063,-0.0063,22.9884,-23,-0.045160
TEL,14904,12.8782,12.0617,-0.0617,4.2347,-5,-0.009817
TEL,15004,13.6348,12.8694,-0.8694,41.7531,-32,-0.062832
TEL,15104,14.7042,14.0265,-2.0265,73.5114,-68,-0.133518
TEL,15204,13.3993,13.2010,-1.2010,16.3418,-43,-0.084430
TEL,15304,14.6585,14.2194,-2.2194,72.9805,-32,-0.062832
TEL,15404,14.8430,14.5544,-2.5544,68.4668,-68,-0.133518
TEL,15504,13.3993,13.6879,-1.6879,33.5129,-41,-0.080503
TEL,15604,14.5228,14.0437,-2.0437,46.1297,-46,-0.090321
TEL,15704,14.8899,14.5387,-2.5387,71.1255,-68,-0.133518
TEL,15804,11.2897,13.8815,-1.8815,62.5310,-63,-0.123700
TEL,15904,14.9843,14.1529,-2.1529,27.2876,-35,-0.068722
TEL,16004,15.5243,14.8468,-2.8468,76.9582,-57,-0.111919
TEL,16104,12.6315,14.5203,-2.5203,94.9887,-94,-0.184569
TEL,16204,15.0320,14.4746,-2.4746,22.3980,-64,-0.125664
TEL,16304,15.4737,15.0849,-3.0849,86.2980,-29,-0.056941
TEL,16404,15.4235,15.2268,-3.2268,77.3515,-85,-0.166897
TEL,16504,12.5969,13.2901,-1.2901,12.2338,-46,-0.090321
TEL,16604,10.9881,11.8558,0.1442,-7.5662,7,0.013744
TEL,16704,16.1015,14.5264,-2.5264,36.6837,-21,-0.041233
TEL,16804,13.8781,13.9252,-1.9252,78.1992,-62,-0.121737
TEL,16904,15.7818,15.1030,-3.1030,82.7407,-83,-0.162970
TEL,17004,16.0473,15.6131,-3.6131,92.4032,-92,-0.180642
TEL,17104,13.7150,14.4658,-2.4658,57.7689,-65,-0.127627
TEL,17204,15.5243,14.9726,-2.9726,56.0484,-56,-0.109956
TEL,17304,16.2658,15.7408,-3.7408,98.3298,-85,-0.166897
TEL,17404,16.3213,16.0278,-4.0278,95.6675,-96,-0.188496
TEL,17504,15.8870,15.5549,-3.5549,64.7918,-71,-0.139408
TEL,17604,16.3771,15.8822,-3.8822,89.2903,-87,-0.170824
TEL,17704,16.7781,16.3904,-4.3904,105.3751,-105,-0.206167
TEL,17804,16.7781,16.5517,-4.5517,101.9325,-102,-0.200277
TEL,17904,16.7781,16.6662,-4.6662,103.1032,-103,-0.202240
TEL,18004,16.8368,16.7219,-4.7219,101.8531,-102,-0.200277
TEL,18104,16.8368,16.7670,-4.7670,102.9072,-103,-0.202240
TEL,18204,16.5468,16.7513,-4.7513,102.4014,-102,-0.200277
TEL,18304,16.5468,16.7006,-4.7006,99.6449,-100,-0.196350
TEL,18404,16.5468,16.6781,-4.6781,100.1010,-100,-0.196350
TEL,18504,16.3771,16.6070,-4.6070,98.2893,-98,-0.192423
TEL,18604,16.3771,16.5704,-4.5704,98.2023,-98,-0.192423
TEL,18704,16.3771,16.5262,-4.5262,97.2226,-97,-0.190459
TEL,18804,15.9936,16.4455,-4.4455,96.5391,-97,-0.190459
TEL,18904,16.1015,16.3613,-4.3613,93.5334,-94,-0.184569
TEL,19004,16.3771,16.3645,-4.3645,94.9177,-95,-0.186532
TEL,19104,16.4333,16.3762,-4.3762,96.1366,-96,-0.188496
TEL,19204,16.4333,16.3803,-4.3803,96.2777,-96,-0.188496
TEL,19304,16.3771,16.3797,-4.3797,96.4398,-96,-0.188496
TEL,19404,15.1766,16.3168,-4.3168,96.6036,-97,-0.190459
TEL,19504,15.9401,16.1842,-4.1842,89.3985,-89,-0.174751
TEL,19604,16.0473,16.1563,-4.1563,91.8203,-92,-0.180642
