BALL_BEAM_REF_BOOT
AS5600_BOOT,ok=1,status_ok=1,md=1,mh=0,ml=0,agc=190,mag=2085
HOST_START_READY
AS5600_ZERO,raw_deg=325.0195
REF_CFG,profile=center_far_near_90s,center_cm=13.0000,near_cm=9.0000,far_cm=17.0000,segment_ms=30000
REF,2302,13.0000,hold_center
TEL,8108,19.2387,18.3704,-4.6704,56.0000,-2192,4.303982,-2.4140,0.0000,3.3451,-113.4668,6.3000,119.7668,-300.0000,1
TEL,8208,19.9409,18.3704,0.0000,0.0000,-2203,4.325580,17.4996,0.0000,3.3451,-113.4668,-113.4668,0.0000,0.0000,1
TEL,8308,19.8605,18.3704,0.0000,0.0000,-2203,4.325580,17.4996,0.0000,3.3451,-113.4668,-113.4668,0.0000,0.0000,1
TEL,8408,18.5809,17.5416,-3.0162,0.0000,-2203,4.325580,-9.8092,0.0000,3.3451,-113.4668,-113.4668,0.0000,0.0000,1
TEL,8508,18.9411,18.5480,-4.5416,56.0000,-2228,4.374668,-0.2598,0.0000,5.1618,-113.4668,6.3000,119.7668,-540.0001,1
TEL,8608,19.0888,18.9563,-5.8111,88.8889,-2301,4.518002,1.6937,0.0000,5.1191,-113.4668,10.0000,123.4668,-1000.0000,1
TEL,8708,12.4606,17.4420,-4.4420,0.0000,-2372,4.657411,-18.9295,0.0000,5.0764,-113.4668,-113.4668,0.0000,-586.0000,1
TEL,8808,19.6230,17.3671,0.0000,0.0000,-2400,4.712388,11.3728,0.0000,5.0344,-113.4668,-113.4668,0.0000,-232.0000,1
TEL,8908,20.6921,17.3671,0.0000,0.0000,-2402,4.716316,11.3728,0.0000,5.0344,-113.4668,-113.4668,0.0000,0.0000,1
TEL,9008,20.7788,17.3671,0.0000,0.0000,-2402,4.716316,11.3728,0.0000,5.0344,-113.4668,-113.4668,0.0000,0.0000,1
TEL,9108,18.4404,17.2094,-2.6839,34.0359,-2418,4.747732,-6.0112,0.0000,0.0000,-113.4668,3.8290,117.2958,-420.0000,1
TEL,9208,19.2387,18.5269,-4.7912,88.8889,-2482,4.873395,-0.1379,0.0000,1.9165,-113.4351,10.0000,123.4351,-1000.0000,1
TEL,9308,19.0147,17.9990,-5.5269,88.8889,-2570,5.046183,3.0136,0.0000,1.9007,-113.3884,10.0000,123.3884,-1000.0000,1
TEL,9408,16.1559,16.5519,-5.6396,88.8889,-2659,5.220934,6.7286,0.0000,1.8849,-113.3792,10.0000,123.3792,-1000.0000,1
TEL,9508,18.5809,18.1757,-3.5519,88.8889,-2748,5.395685,1.2429,0.0000,1.8694,-113.3789,10.0000,123.3789,-1000.0000,1
TEL,9608,19.3144,18.6318,-5.6857,88.8889,-2833,5.562582,4.5305,0.0000,1.8539,-113.3789,10.0000,123.3789,-1000.0000,1
TEL,9708,19.3907,19.0834,-5.6318,88.8889,-2923,5.739297,6.4182,0.0000,1.8386,-113.3789,10.0000,123.3789,-1000.0000,1
TEL,9808,19.5450,19.2689,0.0000,0.0000,-3012,5.914048,1.7686,0.0000,1.8234,-113.3789,-113.3789,0.0000,-940.0000,1
TEL,9908,19.1635,19.2841,-6.3145,0.0000,-3064,6.016149,0.5701,0.0000,1.8234,-113.3789,-113.3789,0.0000,-346.0000,1
TEL,10008,19.2387,19.2560,-6.2626,56.0000,-3094,6.075054,0.2537,0.0000,4.3284,-113.4209,6.3000,119.7209,-586.0000,1
TEL,10108,18.5809,19.1282,-6.2084,88.8889,-3172,6.228207,-0.1588,0.0000,6.8118,-113.3943,10.0000,123.3943,-1000.0000,1
TEL,10208,18.0304,18.5969,-5.9324,88.8889,-3259,6.399031,-1.5120,0.0000,6.7555,-113.3064,10.0000,123.3064,-1000.0000,1
TEL,10308,18.3018,18.4812,-5.5287,88.8889,-3348,6.573782,-1.5666,0.0000,6.6997,-113.2337,10.0000,123.2337,-1000.0000,1
TEL,10408,18.3018,18.4037,-5.4473,88.8889,-3438,6.750497,-1.3613,0.0000,6.6443,-113.2040,10.0000,123.2040,-1000.0000,1
TEL,10508,18.5809,18.4490,-5.4287,88.8889,-3526,6.923285,-0.7938,0.0000,8.8158,-113.0402,10.0000,123.0402,-1000.0000,1
TEL,10608,19.5450,18.6090,0.0000,0.0000,-3615,7.098035,2.4580,0.0000,11.0421,-113.0277,-113.0279,-0.0002,-940.0000,1
TEL,10708,19.8605,18.6090,0.0000,0.0000,-3667,7.200137,2.4580,0.0000,11.0421,-113.0537,-113.0279,0.0259,-340.0000,1
TEL,10808,20.7788,18.6090,0.0000,0.0000,-3673,7.211918,2.4580,0.0000,11.0421,-113.2130,-113.0279,0.1851,0.0000,1
TEL,10908,20.6921,18.6090,0.0000,0.0000,-3684,7.233517,2.4580,0.0000,11.0421,-113.2879,-113.0279,0.2600,-166.5371,1
TEL,11008,20.3519,18.6090,0.0000,0.0000,-3687,7.239407,2.4580,0.0000,11.0421,-113.1227,-113.0279,0.0948,0.0000,1
TEL,11108,20.3519,18.6090,0.0000,0.0000,-3687,7.239407,2.4580,0.0000,11.0421,-113.0487,-113.0279,0.0208,0.0000,1
TEL,11208,20.4360,18.6090,0.0000,0.0000,-3687,7.239407,2.4580,0.0000,11.0421,-112.9612,-113.0279,-0.0667,0.0000,1
TEL,11308,20.1856,18.6090,0.0000,0.0000,-3687,7.239407,2.4580,0.0000,11.0421,-112.8572,-113.0279,-0.1706,0.0000,1
TEL,11408,20.1856,18.6090,0.0000,0.0000,-3686,7.237443,2.4580,0.0000,11.0421,-112.7849,-113.0279,-0.2429,66.0000,1
TEL,11508,20.1856,18.6090,0.0000,0.0000,-3670,7.206027,2.4580,0.0000,11.0421,-112.6977,-113.0279,-0.3301,187.6523,1
TEL,11608,18.9411,18.2051,-4.7807,56.0000,-3679,7.223699,-0.8628,0.0000,96.0000,-112.6854,6.3000,118.9854,-350.4855,1
TEL,11708,19.8605,18.2051,0.0000,0.0000,-3711,7.286531,7.7356,0.0000,95.2066,-112.7024,-112.7368,-0.0345,-116.4855,1
TEL,11808,20.0219,18.2051,0.0000,0.0000,-3711,7.286531,7.7356,0.0000,95.2066,-112.7805,-112.7368,0.0436,0.0000,1
